clustername	contigname
nneighs_2	Ssample_8CNODE_126_length_35565_cov_6.274796
nneighs_2	Ssample_3CNODE_387_length_5778_cov_3.266119
nneighs_2	Ssample_5CNODE_346_length_27176_cov_79.147524
nneighs_2	Ssample_5CNODE_2119_length_5890_cov_23.782519
nneighs_2	Ssample_3CNODE_890_length_3512_cov_2.739080
nneighs_2	Ssample_3CNODE_602_length_4414_cov_3.172058
nneighs_2	Ssample_8CNODE_2110_length_2785_cov_6.059707
nneighs_2	Ssample_5CNODE_45_length_153830_cov_25.445202
nneighs_2	Ssample_3CNODE_695_length_4026_cov_3.054646
nneighs_2	Ssample_3CNODE_1042_length_3273_cov_2.568365
nneighs_2	Ssample_3CNODE_544_length_4674_cov_2.644728
nneighs_2	Ssample_0CNODE_829_length_11415_cov_4.531338
nneighs_2	Ssample_8CNODE_50_length_64503_cov_5.880648
nneighs_2	Ssample_5CNODE_172_length_50286_cov_79.381000
nneighs_2	Ssample_3CNODE_1744_length_2413_cov_2.541985
nneighs_2	Ssample_0CNODE_2909_length_3960_cov_4.320102
nneighs_2	Ssample_0CNODE_14_length_325882_cov_39.224500
nneighs_2	Ssample_0CNODE_2351_length_4713_cov_5.112709
nneighs_2	Ssample_3CNODE_1834_length_2344_cov_3.198340
nneighs_2	Ssample_5CNODE_109_length_77167_cov_80.215362
nneighs_2	Ssample_0CNODE_455_length_21560_cov_4.240130
nneighs_2	Ssample_8CNODE_575_length_9998_cov_6.179825
nneighs_2	Ssample_8CNODE_191_length_28225_cov_6.225346
nneighs_2	Ssample_3CNODE_975_length_3375_cov_2.937349
nneighs_2	Ssample_3CNODE_252_length_7512_cov_2.692906
nneighs_2	Ssample_5CNODE_289_length_31327_cov_29.951202
nneighs_2	Ssample_3CNODE_697_length_4023_cov_2.661794
nneighs_2	Ssample_0CNODE_424_length_23155_cov_41.737316
nneighs_2	Ssample_3CNODE_1484_length_2652_cov_3.072776
nneighs_2	Ssample_3CNODE_875_length_3540_cov_2.729986
